NAME,ADDRESS,TYPE,NUMBER OF UG STUDENTS,IN-STATE TUITION,OUT OF STATE TUITION,ACCEPTANCE RATE,FOUNDED
Adelphi University,"1 South Avenue, Garden City, NY 11530",Private,5040,"$32,340 ","$32,340 ",68%,1896
Albany College of Pharmacy and Health Sciences,"106 New Scotland Avenue, Albany, NY 12208-3492",Private,1071,"$30,131 ","$30,131 ",,1881
Albany Medical College,"47 New Scotland Ave, Albany, NY 12208",Private,,,,,1939
Alfred University,"1 Saxon Drive, Alfred, NY 14802-1205",Private,1960,"$29,610 ","$29,610 ",70%,1836
Bank Street College of Education,"610 W 112th St, New York, NY 10025",Private,,,,,1916
Bard College,"30 Campus Rd, Annandale-on-Hudson, NY 12504",Private,2022,"$48,240 ","$48,240 ",38%,1860
Barnard College,"3009 Broadway, New York, NY 10027",Private,2489,"$46,040 ","$46,040 ",21%,1889
Boricua College,"3755 Broadway, New York, NY 10032",Private,1200,"$11,025 ","$11,025 ",56%,1973
Briarcliffe College,"1055 Stewart Avenue, Bethpage, NY 11714",Private,,"$16,665 ","$16,665 ",,1966
Canisius College,"2001 Main Street, Buffalo, NY 14208-1098",Private,3084,"$34,000 ","$34,000 ",73%,1870
Cazenovia College,"22 Sullivan Street, Cazenovia, NY 13035-1804",Private,1077,"$30,560 ","$30,560 ",78%,1824
Christ the King Seminary,"711 Knox Rd, East Aurora, NY 14052",Private,,,,,1857
CUNY Baruch College,"1 Bernard Baruch Way, New York, NY 10010",Public,14082,"$6,555 ","$16,575 ",27%,1919
CUNY Brooklyn College,"2900 Bedford Avenue, Brooklyn, NY 11210",Public,13596,"$6,535 ","$13,345 ",34%,1930
CUNY City College,"160 Convent Avenue, New York, NY 10031",Public,12629,"$6,440 ","$15,710 ",34%,1847
CUNY College of Staten Island,"2800 Victory Boulevard, Staten Island, NY 10314",Public,13456,"$6,509 ","$16,529 ",100%,1976
CUNY Graduate School and University Center,,Public,,,,,1961
CUNY Hunter College,"695 Park Avenue, New York, NY 10021",Public,16689,"$6,129æ","$15,699 ",31%,1870
CUNY John Jay College of Criminal Justice,"524 West 59 Street, New York, NY 10019",Public,13217,"$6,359 ","$16,379 ",53%,1965
CUNY Lehman College,"250 Bedford Park Boulevard W, Bronx, NY 10468",Public,9886,"$6,230 ","$13,040 ",25%,1968
CUNY Medgar Evers College,"1650 Bedford Avenue, Brooklyn, NY 11225",Public,6491,"$6,032 ","$12,542 ",100%,1969
CUNY New York City College of Technology,"300 Jay Street, Brooklyn, NY 11201",Public,16860,"$6,069 ","$15,639 ",71%,1946
CUNY Queens College,"65-30 Kissena Boulevard, Flushing, NY 11367",Public,15351,"$6,207 ","$15,777 ",37%,1937
CUNY York College,"94-20 Guy R. Brewer Boulevard, Jamaica, NY 11451",Public,8259,"$6,396 ","$16,416 ",65%,1966
Clarkson University,"8 Clarkson Avenue, Potsdam, NY 13699",Private,3110,"$42,530 ","$42,530 ",64%,1896
Colgate University,"13 Oak Drive, Hamilton, NY 13346",Private,2890,"$48,175 ","$48,175 ",27%,1819
College of Mount Saint Vincent,"6301 Riverdale Avenue, Riverdale, NY 10471",Private,1649,"$30,290 ","$30,290 ",91%,1847
The College of New Rochelle,"Castle Place, New Rochelle, NY 10805-2338",Private,6800,"$31,260 ","$31,260 ",57%,1904
The College of Saint Rose,"432 Western Avenue, Albany, NY 12203-1490",Private,2891,"$29,016 ","$29,016 ",78%,1920
Columbia University in the City of New York,"2960 Broadway, New York, NY 10027",Private,6084,"$51,008 ","$51,008 ",7%,1754
Concordia College - New York,"171 White Plains Road, Bronxville, NY 10708",Private,887,"$28,770 ","$28,770 ",72%,1881
The Cooper Union for the Advancement of Science and Art,"30 Cooper Square, New York, NY 10003",Private,868,"$41,400 ","$41,400 ",8%,1859
Cornell University,"Ithaca, NY 14850",Private and Public,14393,"$47,286 ","$47,286 ",16%,1865
Culinary Institute of America,"1946 Campus Drive, Hyde Park, NY 12538-1499",Private and Public,2814,"$29,735 ","$29,735 ",,1946
Daemen College,"4380 Main Street, Amherst, NY 14226-3592",Private and Public,2156,"$24,990 ","$24,990 ",49%,1947
Davis College,"400 Riverside Dr, Johnson City, NY 13790",Private and Public,329,"$12,640 ","$12,640 ",,1900
Dominican University New York,"470 Western Highway, Orangeburg, NY 10962-1210",Private and Public,1527,"$25,702 ","$25,702 ",72%,1952
Dowling College,"Idle Hour Boulevard, Oakdale Long Island, NY 11769",Private and Public,2298,"$29,100 ","$29,100 ",74%,1955
D'Youville College,"320 Porter Ave, Buffalo, NY 14201",Private,1620,"$23,462 ","$23,462 ",79%,1908
Elmira College,"1 Park Place, Elmira, NY 14901",Private,1408,"$38,150 ","$38,150 ",80%,1855
Excelsior College,"7 Columbia Circle, Albany, NY 12203",Private,35100,,,,1971
Five Towns College,"305 N. Service Road, Dix Hills, NY 11746-5871",Private,752,"$21,300 ","$21,300 ",55%,1972
Fordham University,"113 W. 60th Street, New York, NY 10023",Private,8345,"$43,577 ","$43,577 ",47%,1841
Hamilton College,"198 College Hill Road, Clinton, NY 13323",Private,1926,"$47,820 ","$47,820 ",27%,1812
Hartwick College,"1 Hartwick Drive, Oneonta, NY 13820-4020",Private,1615,"$40,070 ","$40,070 ",84%,1797
Hebrew Union College-Jewish Institute of Religion,"Brookdale Center, One West 4th Street New York, NY 10012-11",Private,,,,,1922
Hilbert College,"5200 S. Park Avenue, Hamburg, NY 14075-1597",Private,1089,"$19,940 ","$19,940 ",,1957
Hobart and William Smith Colleges,"337 Pulteney Street, Geneva, NY 14456",Private,2368,"$47,908 ","$47,908 ",50%,1822
Hofstra University,"100 Hofstra University, Hempstead, NY 11549",Private,6826,"$38,900 ","$38,900 ",59%,1935
Houghton College,"1 Willard Avenue, Houghton, NY 14744",Private,1081,"$28,556 ","$28,556 ",92%,1883
Icahn School of Medicine at Mount Sinai,"1428 Madison Ave, New York, NY 10029",Private,516 (Grad),,,,1963
Iona College,"715 North Avenue, New Rochelle, NY 10801",Private,3539,"$34,030 ","$34,030 ",92%,1940
Ithaca College,"953 Danby Road, Ithaca, NY 14850-7000",Private,6234,"$39,532 ","$39,532 ",67%,1892
The Jewish Theological Seminary of America,"3080 Broadway, New York, NY 10027",Private,,,,,1886
The Juilliard School,"60 Lincoln Center Plaza, New York, NY 10023-6588",Private,850,"$36,920 ","$36,920 ",,1905
Keuka College,"141 Central Avenue, Keuka Park, NY 14478",Private,1829,"$28,010 ","$28,010 ",88%,1890
The King's College,"56 Broadway, New York, NY 10004",Private,516,"$32,300 ","$32,300 ",71%,1938
Le Moyne College,"1419 Salt Springs Road, Syracuse, NY 13214-1301",Private,2785,"$31,340 ","$31,340 ",62%,1946
LIM College,"12 E. 53rd Street, New York, NY 10022",Private,1513,"$24,225 ","$24,225 ",,1939
Arnold & Marie Schwartz College of Pharmacy & Health Sciences,"75 Dekalb Ave, New York, NY 11201",Private,,,,,1886
LIU Brentwood,"1001 Crooked Hill Rd, Brentwood, NY 11717",Private,,,,,1976
LIU Brooklyn,"1 University Plaza, New York, NY 11201",Private,,,,,1926
LIU Post,"720 Northern Boulevard, Brookville, NY 11548-1300",Private,7983,"$34,852 ","$34,852 ",81%,1954
LIU Hudson,"70 New York 340, Orangeburg, NY 10962",Private,,,,,
LIU Riverhead,"121 Speonk Riverhead Road, Long Island University Building, Riverhead, NY 11901-3499",Private,,,,,2006
Manhattan College,"Manhattan College Parkway, Riverdale, NY 10471",Private,3403,"$35,725 ","$35,725 ",66%,1853
Manhattan School of Music,"120 Claremont Avenue, New York, NY 10027",Private,,"$36,500 ","$36,500 ",,1917
Manhattanville College,"2900 Purchase St, Purchase, NY 10577",Private,1700,,,,1841
Maria College of Albany,"700 New Scotland Avenue, Albany, NY 12208",Private,859,"$12,050 ","$12,050 ",,1958
Marist College,"3399 North Road, Poughkeepsie, NY 12601",Private,5566,"$32,500 ","$32,500 ",38%,1929
Marymount Manhattan College,"221 E. 71st Street, New York, NY 10021",Private,1833,"$27,636 ","$27,636 ",75%,1936
Medaille College,"18 Agassiz Circle, Buffalo, NY 14214",Private,"1,728","$25,002 ","$25,002 ",54%,1937
Mercy College,"555 Broadway, Dobbs Ferry, NY 10522",Private,8154,"$17,766 ","$17,766 ",63%,1950
Metropolitan College of New York,"75 Varick Street, New York, NY 10013",Private,911,"$17,530 ","$17,530 ",52%,1964
Molloy College,"1000 Hempstead Ave, Rockville Centre, NY 11570",Private,3375,"$26,850 ","$26,850 ",73%,1955
Monroe College,"Monroe College Way, Bronx, NY 10468",Private,6794,"$13,740 ","$13,740 ",44%,1933
Morrisville State College,"80 Eaton St, Morrisville, NY 13408",Public,3028,"$6,670 ","$12,140 ",59%,1908
Mount Saint Mary College,"330 Powell Avenue, Newburgh, NY 12550",Private,2203,"$27,312 ","$27,312 ",86%,1959
Nazareth College,"4245 East Avenue, Rochester, NY 14618-3790",Private,2034,"$30,572 ","$30,572 ",68%,1924
The New School,"66 W. 12th Street, New York, NY 10011",Private,6874,"$41,836 ","$41,836 ",67%,1919
New York Chiropractic College,"2360 New York 89, Seneca Falls, NY 13148",Private,826,,,,1919
New York Institute of Technology,"1855 Broadway, New York, NY 10023",Private,4456,"$32,180 ","$32,180 ",74%,1955
New York Medical College,"40 Sunshine Cottage Rd, Valhalla, NY 10595",Private,"1,660 (grad)",,,,1860
New York University,"70 Washington Square S, New York, NY 10012",Private,22615,"$46,170 ","$46,170 ",32%,1831
Niagara University,"5795 Lewiston Rd, Niagara Univ, NY 14109",Private,3327,"$29,060 ","$29,060 ",66%,1856
Nyack College,"1 South Boulevard, Nyack, NY 10960-3698",Private,3318,"$23,250 ","$23,250 ",97%,1882
Pace University,"1 Pace Plaza, New York, NY 10038",Private,8289,"$39,747 ","$39,747 ",81%,1906
Paul Smith's College,"7777 New York 30, Brighton, NY 12970",Private,1000,"$25,454 ","$25,454 ",75%,1946
Pratt Institute,"200 Willoughby Avenue, Brooklyn, NY 11205",Private,3149,"$44,804 ","$44,804 ",67%,1887
Rensselaer Polytechnic Institute,"110 Eighth Street, Troy, NY 12180-3590",Private,5452,"$47,908 ","$47,908 ",41%,1824
Roberts Wesleyan College,"2301 Westside Drive, Rochester, NY 14624-1997",Private,1415,"$27,364 ","$27,364 ",73%,1866
Northeastern Seminary,"2265 Westside Drive, Rochester, NY 14624-1997",Private,,,,,1998
Rockefeller University,"1230 York Ave, New York, NY 10065",Private,,,,,1901
Rochester Institute of Technology,"1 Lomb Memorial Drive, Rochester, NY 14623",Private,13880,"$35,768 ","$35,768 ",60%,1829
The Sage Colleges,"65 1st Street, Troy, NY 12180-4115",Private,1699,"$28,200 ","$28,200 ",57%,1916
St. Bonaventure University,"3261 West State Road, St. Bonaventure, NY 14778",Private,1826,"$30,475 ","$30,475 ",80%,1858
St. Francis College,"180 Remsen Street, Brooklyn Heights, NY 11201",Private,2764,"$22,300 ","$22,300 ",64%,1884
Saint John Fisher College,"3690 East Avenue, Rochester, NY 14618",Private,2959,"$29,550 ","$29,550 ",63%,1948
St. John's University,"8000 Utopia Parkway, Queens, NY 11439",Private,15733,"$38,680 ","$38,680 ",53%,1870
Saint Joseph's College,"245 Clinton Avenue, Brooklyn, NY 11205-3688",Private,4529,"$22,835 ","$22,835 ",75%,1916
Saint Joseph's Seminary,"201 Seminary Ave, Yonkers, NY 10704",Private,,,,,1896
St. Lawrence University,"23 Romoda Drive, Canton, NY 13617",Private,2414,"$47,696 ","$47,696 ",46%,1856
St. Thomas Aquinas College,"125 New York 340, Sparkill, NY 10976",Private,1801,"$27,630 ","$27,630 ",82%,1952
Sarah Lawrence College,"1 Meadway, Bronxville, NY 10708-5999",Private,1471,"$50,780 ","$50,780 ",77%,1926
School of Visual Arts,"209 E. 23rd Street, New York, NY 10010-3994",Private,3636,"$33,560 ","$33,560 ",,1947
Seminary of the Immaculate Conception,"440 W Neck Rd, Huntington, NY 11743",Private,,,,,1926
Siena College,"515 Loudon Road, Loudonville, NY 12211",Private,3161,"$32,293 ","$32,293 ",58%,1937
Skidmore College,"815 N. Broadway, Saratoga Springs, NY 12866",Private,2684,"$47,314 ","$47,314 ",35%,1903
SUNY at Albany,"1400 Washington Avenue, Albany, NY 12222",Public,12822,"$8,527 ","$20,167 ",56%,1844
SUNY College of Technology at Alfred,"10 Upper College Dr, Alfred, NY 14802",Public,3549,"$7,646 ","$17,296 ",55%,1908
SUNY Binghamton University,"4400 Vestal Pkwy E, Binghamton, NY 13902",Public,12997,"$8,619 ","$20,259 ",42%,1946
SUNY at Buffalo,"3435 Main Street, Buffalo, NY 14214",Public,19831,"$8,426Ê","$20,366Ê",57%,1846
SUNY College at Buffalo,"1300 Elmwood Avenue, Buffalo, NY 14222",Public,9335,"$7,347Ê","$16,997 ",49%,1871
SUNY Stony Brook University,"Stony Brook, NY 11790",Public,15992,"$8,430 ","$21,850 ",40%,1957
SUNY College at Brockport,"350 New Campus Drive, Brockport, NY 14420",Public,7090,"$7,562 ","$17,212 ",48%,1835
SUNY College at Cortland,"38 Graham Ave, Cortland, NY 13045",Public,6400,"$7,327 ","$16,777 ",47%,1868
SUNY College at Fredonia,"280 Central Ave, Fredonia, NY 14063",Public,5103,"$7,700 ","$16,850 ",52%,1826
SUNY College at Geneseo,"1 College Circle, Geneseo, NY 14454-1401",Public,5504,"$7,774 ","$17,424 ",53%,1871
SUNY at New Paltz,"1 Hawk Drive, New Paltz, NY 12561-2443",Public,6570,"$7,408 ","$17,058 ",44%,1828
SUNY College at Old Westbury,"223 Store Hill Rd, Old Westbury, NY 11568",Public,4158,"$8,436 ","$8,436 ",58%,1965
SUNY College at Oneonta,"Ravine Parkway, Oneonta, NY 13820",Public,5820,"$7,220 ","$7,220 ",43%,1889
SUNY College at Oswego,"7060 State Route 104, Oswego, NY 13126",Public,7328,"$7,501 ","$17,151 ",49%,1861
SUNY College at Plattsburgh,"101 Broad Street, Plattsburgh, NY 12901-2697",Public,5639,"$7,497 ","$17,147 ",46%,1889
SUNY College at Potsdam,"44 Pierrepont Avenue, Potsdam, NY 13676",Public,3707,"$7,553 ","$17,203 ",68%,1816
SUNY College at Purchase,"735 Anderson Hill Road, Purchase, NY 10577",Public,4265,"$7,873 ","$17,523 ",33%,1967
SUNY College of Agriculture and Technology at Cobleskill,"State Route 7, Cobleskill, New York 12043",Public,2470,"$7,609 ","$17,259 ",73%,1911
SUNY College of Environmental Science and Forestry,"1 Forestry Drive, Syracuse, NY 13210",Public,1798,"$7,303Ê","$16,953 ",51%,1911
SUNY College of Optometry,"33 W 42nd St, New York, NY 10036",Public,362,,,16%,1971
SUNY College of Technology at Canton,"34 Cornell Drive, Canton, NY 13617",Public,3550,"$7,129 ","$16,969 ",79%,1906
SUNY College of Technology at Delhi,"2 Main Street, Delhi, NY 13753",Public,3426,"$7,740 ","$17,390 ",59%,1913
SUNY Downstate Medical Center,"450 Clarkson Ave, Brooklyn, NY 11203",Public,"1,738 (Grad)",,,,1860
SUNY Empire State College,"2 Union Avenue, Saratoga Springs, NY 12866",Public,10851,"$6,315 ","$15,765 ",82%,1971
Farmingdale State College,"2350 Broadhollow Road, Farmingdale, NY 11735-1021",Public,8126,"$7,483 ","$17,133 ",51%,1912
Fashion Institute of Technology,"Seventh Avenue at 27th Street, New York, NY 10001-5992",Public,9566,"$5,105 ","$13,955 ",45%,1944
SUNY Polytechnic Institute,"100 Seymour Road, Utica, NY 13502",Public,1807,"$7,530 ","$17,155 ",48%,1966
SUNY Maritime College,"6 Pennyfield Avenue, Throggs Neck, NY 10465",Public,1601,"$7,446 ","$17,096 ",64%,1874
SUNY Upstate Medical University,"766 Irving Avenue, Syracuse, NY 13210",Public,"1,542 (Grad)",,,,1834
Syracuse University,"900 S Crouse Ave, Syracuse, NY 13210",Private,15097,"$41,886 ","$41,886 ",50%,1870
Touro College,"27-33 W. 23rd Street, New York, NY 10010",Private,6805,"$15,600 ","$15,600 ",65%,1971
Unification Theological Seminary,"30 Seminary Dr, Barrytown, NY 12507",Private,,,,,1975
Union College,"807 Union Street, Schenectady, NY 12308",Private,2246,"$48,384 ","$48,384 ",37%,1795
Union Graduate College,"80 Nott Terrace, Schenectady, NY 12308",Private,,,,,1873
Union Theological Seminary,"3041 Broadway, New York, NY 10027",Private,300,,,,1836
United States Merchant Marine Academy,"300 Steamboat Road, Kings Point, NY 11024",Public,958,"$1,032 ","$1,032 ",18%,1943
United States Military Academy,"600 Thayer Road, West Point, NY 10996-2101",Public,4591,$0 ,$0 ,9%,1802
University of Rochester,"Wilson Boulevard, Rochester, NY 14627",Private,6177,"$46,960 ","$46,960 ",36%,1850
Utica College,"1600 Burrstone Road, Utica, NY 13502",Private,2881,"$33,736 ","$33,736 ",85%,1946
Vassar College,"124 Raymond Avenue, Poughkeepsie, NY 12604",Private,2477,"$49,570 ","$49,570 ",24%,1861
Vaughn College of Aeronautics and Technology,"86-01 23rd Avenue, Flushing, NY 11369",Private,1725,"$21,740 ","$21,740 ",77%,1932
Villa Maria College,"240 Pine Ridge Rd, Buffalo, NY 14225",Private,,,,,1961
Wagner College,"1 Campus Road, Staten Island, NY 10301",Private,1838,"$40,750 ","$40,750 ",70%,1883
Webb Institute,"298 Crescent Beach Road, Glen Cove, NY 11542-1398",Private,82,"$44,000 ","$44,000 ",30%,1889
Wells College,"170 Main Street, Aurora, NY 13026",Private,534,"$36,700 ","$36,700 ",60%,1868
Yeshiva University,"500 W. 185th Street, New York, NY 10033",Private,2885,"$38,730 ","$38,730 ","82,2%",1886
